NAME	S	BETX	BETY
STP0	2.73	10.21307891	5.524087215
STP2	10.038	10.75077567	14.67734214
STP4	16.705	4.021978249	27.7780138
RP	20.228	3.136838757	11.96691469
RP	27.375	6.480431354	13.55731719
RP	34.522	5.098129709	14.07555834
RP	41.669	3.448210316	12.45123773
RP	48.816	6.79474833	12.00853137
RP	55.963	4.267843815	13.57544951
RP	63.11	4.049685871	13.80122452
RP	70.257	6.913917912	12.32633369
RP	77.404	3.661781547	12.37237838
SIP1	87.573	16.71422024	5.257199438
SIP2	94.487	13.03918026	5.877696908
RP	98.845	3.385625666	12.27134999
RP	105.992	5.169745517	12.75865947
RP	113.139	6.478777549	13.7581899
RP	120.286	3.114104083	13.23242109
RP	127.433	5.891239545	12.22233276
RP	134.58	5.768444221	12.74213584
RP	141.727	3.131221744	13.63203552
RP	148.874	6.554419061	13.07808055
SEP5	152.573	14.05718537	6.506410264
SEP4	158.383	15.1478036	2.303405325
SEP3	166.687	7.835077881	21.92355548
SEP1	173.956	52.38794105	3.779382233
SEP0	179.647	26.80299701	96.33825733
NEP0	186.427	26.80297819	96.33825699
NEP1	192.118	52.38791479	3.779382436
NEP3	199.387	7.835081249	21.92355419
NEP4	207.691	15.14781984	2.303405455
NEP5	213.501	14.05717952	6.506409887
RP	217.2	6.554412346	13.07807923
RP	224.347	3.131222109	13.63203723
RP	231.494	5.768446957	12.74213698
RP	238.641	5.891232681	12.2223311
RP	245.788	3.114106487	13.23242161
RP	252.935	6.478778791	13.75819131
RP	260.082	5.16973902	12.75865943
RP	267.229	3.385629605	12.27134981
NIP2	271.587	13.03918855	5.8776969
NIP1	278.501	16.71420444	5.257199522
RP	288.67	3.661786102	12.37237834
RP	295.817	6.913917026	12.32633305
RP	302.964	4.049680902	13.80122573
RP	310.111	4.267849289	13.57545098
RP	317.258	6.794745724	12.00852975
RP	324.405	3.448207044	12.45123795
RP	331.552	5.098135672	14.07556053
RP	338.699	6.480427193	13.55731675
RP	345.846	3.136837451	11.96691418
NTP4	349.369	4.021981977	27.77801334
NTP2	356.036	10.75077031	14.6773428
NTP0	363.344	10.21307161	5.524087616
