NAME	S	BETX	BETY
RING$START	0	9.4220708	3.181549899
CTX	0.035	9.42220086	3.181934929
TO01	1.285	9.59732327	3.700549994
STZ1	2.57	10.12307725	5.257550468
TO02	2.68	10.18436965	5.439065764
STP0	2.73	10.21307891	5.524087215
TO03	2.905	10.31774032	5.834038337
TL1	3.7135	9.860999337	8.230914105
TO04	4.4885	7.037241237	13.98247108
TL2	5.2635	4.808746159	20.67155578
TO05	7.2525	5.675337591	19.09418077
RES4	9.078	8.588039382	16.0286337
TO06	9.693	9.923475988	15.1422671
STX1	9.898	10.4082876	14.86320796
TO07	9.998	10.65197806	14.7300565
STP2	10.038	10.75077567	14.67734214
TO08	10.143	11.01371197	14.54045198
RES5	10.718	12.54586442	13.82895336
TO09	11.333	14.35729393	13.13934349
STZ2	11.538	15.00076985	12.92586993
TO10	11.743	15.6640788	12.72059457
RES6	12.358	17.77300388	12.15395766
TO11	13.193	20.92203839	11.50271735
TL3	14.1915	21.68504036	12.62907984
TO12	14.9665	13.58288478	20.3428515
TL4	15.7415	6.876432447	29.59576704
TO13	16.54	4.321972987	28.74573397
STP4	16.705	4.021978249	27.7780138
TO14	16.99	3.559991262	26.1500623
STZ3	17.335	3.095963906	24.25321564
TO15	17.44	2.9754382	23.6919648
STX2	17.545	2.864572499	23.13820411
TO16	17.8535	2.594724049	21.55453483
W0	18.178	2.382943493	20.10804653
WM	18.4265	2.17600453	19.9568666
WP	18.7515	2.244200481	17.54791958
WM	19.0765	2.169021051	17.08394089
W0	19.325	2.369983203	15.29411338
TO17	19.7695	2.667164108	13.53643747
OM	20.173	3.070767556	12.14834147
RP	20.228	3.136838757	11.96691469
OM	20.283	3.205562698	11.78735463
B	21.2765	4.900437033	8.865454172
FS	22.396	7.833897603	6.302713213
O1	22.577	8.409925323	5.96069296
F7	23.1435	9.58344056	5.490707819
O2	23.801	8.981654909	6.355085612
B	24.8505	7.085978703	9.139101908
DS	25.97	5.604040688	12.98545702
O1	26.151	5.416606009	13.69425964
D7	26.718	5.325264282	14.92648393
OM	27.32	6.334441259	13.75768013
RP	27.375	6.480431354	13.55731719
OM	27.43	6.629028951	13.35886697
B	28.4235	9.755323141	10.10386197
FS	29.543	14.27202601	7.183365401
O1	29.724	15.10298224	6.784355405
F7	30.2905	16.46881837	6.200655123
O2	30.948	14.58817881	7.074428522
B	31.9975	10.12456546	9.928228247
DS	33.117	6.44275163	13.79596442
O1	33.298	5.952076084	14.50414682
D7	33.865	5.002436698	15.66663289
OM	34.467	5.051166661	14.29758025
RP	34.522	5.098129709	14.07555834
OM	34.577	5.146502316	13.85570028
B	35.5705	6.258510732	10.25696947
FS	36.69	8.048007476	7.04756139
O1	36.871	8.391350482	6.612124486
F7	37.4375	8.797184034	5.911448971
O2	38.095	7.492669956	6.589075502
B	39.1445	4.939102002	9.021798767
DS	40.264	3.193892311	12.35382471
O1	40.445	3.007096308	12.96452032
D7	41.012	2.807333772	13.93287622
OM	41.614	3.360265801	12.65326028
RP	41.669	3.448210316	12.45123773
OM	41.724	3.539068312	12.25132295
B	42.7175	5.678393845	9.002786849
FS	43.837	9.211960953	6.166619317
O1	44.018	9.893611274	5.790583176
F7	44.5845	11.2685277	5.211433509
O2	45.242	10.52464624	5.891726903
B	46.2915	8.188037543	8.280846039
DS	47.411	6.266873275	11.62542922
O1	47.592	6.013440386	12.24125532
D7	48.159	5.760240144	13.28388371
OM	48.761	6.657945475	12.19079997
RP	48.816	6.79474833	12.00853137
OM	48.871	6.933841903	11.82813566
B	49.8645	9.834460049	8.891673137
